1,0.002,1,3.12998e-05,57,0.002,1,3.95271e-05
2,0.002,1,0,12,0.002,1,0
3,0.002,1,0,29,0.002,0.992537,0.0298507
4,0.002,1,4.75247e-159,0,0.002,1,0
5,0.00204054,1,0,15,0.00204054,0.991304,0.0347826
6,0.002,1,2.02548e-166,13,0.002,0.990196,0.00980392
7,0.002,1,0,45,0.002,1,0
8,0.00186246,1,0,13,0.00186246,0.992366,0.0305344
9,0.002,1,0,7,0.002,1,0
10,0.002,1,9.2795e-05,79,0.002,1,6.57898e-05
11,0.002,1,0,8,0.002,1,0
12,0.002,1,0.000115391,4,0.002,1,5.17987e-05
13,0.002,1,0,23,0.002,1,0
14,0.002,1,4.53847e-07,15,0.002,1,5.7573e-06
15,0.00218325,1,0,7,0.00218325,0.990099,0.039604
16,0.002,1,0,4,0.002,1,0
17,0.00198608,1,2.18709e-109,6,0.00198608,0.963303,0.0917431
18,0.002,1,2.0304e-22,14,0.002,0.989691,0.0103093
19,0.002,1,0,13,0.002,0.99187,0.0325203
20,0.002,1,0,20,0.002,1,0
21,0.002,1,2.20715e-167,9,0.002,0.981651,0.0458716
22,0.002,1,1.58365e-99,25,0.002,0.990476,0.00952381
23,0.00177911,1,0,29,0.00177911,0.989899,0.040404
24,0.002,1,0,16,0.002,1,0
25,0.00191978,1,0.00242573,30,0.00191978,0.984962,0.0202505
26,0.00176229,1,0,31,0.00176229,0.989899,0.040404
27,0.002,1,9.92188e-05,0,0.002,1,5.12285e-05
28,0.0017654,1,0,9,0.0017654,1,5.06833e-131
29,0.00193049,1,0,19,0.00193049,1,0
30,0.0018046,1,0,42,0.0018046,1,0
